01,1040000000,1040999999,02,14,14,Y,Y,N,DINERS,N
02,2030000000,2030999999,02,14,14,Y,Y,N,DINERS,N
03,3000000000,3099999999,02,14,14,Y,Y,N,DINERS,N
04,3400000000,3499999999,01,15,15,Y,Y,Y,AMEX,N
05,3528000000,3589999999,01,13,19,Y,Y,N,JCB,N
06,3600000000,3699999999,02,14,14,Y,Y,N,DINERS,N
07,3700000000,3799999999,01,15,15,Y,Y,Y,AMEX,N
08,3800000000,3899999999,02,14,14,Y,Y,N,DINERS,N
09,4000000000,4000999999,01,11,16,Y,Y,N,U CARD,N
10,4000000000,4999999999,01,13,19,Y,Y,N,VISA,N
11,5100000000,5599999999,01,13,19,Y,Y,N,MASTERCARD,N
12,6011000000,6011099999,02,16,16,Y,Y,N,DINERS,N
13,6011200000,6011499999,02,16,16,Y,Y,N,DINERS,N
14,6011740000,6011749999,02,16,16,Y,Y,N,DINERS,N
15,6011770000,6011799999,02,16,16,Y,Y,N,DINERS,N
16,6011860000,6011999999,02,16,16,Y,Y,N,DINERS,N
17,6440000000,6499999999,02,16,16,Y,Y,N,DINERS,N
18,6500000000,6599999999,02,16,16,Y,Y,N,DINERS,N
19,9999999999,9999999999,01,13,19,N,N,N,CUP,N
20,8888888888,8888888888,01,11,16,N,N,N,SMARTPAY,N
