000001,000001,000001,000000,CREDITTRT   ,N,N,N,000001,0600
000001,000001,000001,000000,DCCTRT      ,N,N,N,000001,0600
000001,000001,000001,000000,ESVCTRT     ,N,N,N,000001,0600
000001,000001,000001,000000,DINERSTRT   ,N,N,N,000001,0600
000001,000001,000001,000000,HGTRT       ,N,N,N,000001,0600
000001,000001,000001,000000,VASSTRT     ,N,N,N,000001,0600
000001,000001,000001,000000,CLMTRT      ,N,N,N,000001,0600
000001,000001,000001,000000,AMEXTRT     ,N,N,N,000001,0600
000001,000001,000001,000000,ESCTRT      ,N,N,N,000001,0600
000001,000001,000001,000000,REDETRT     ,N,N,N,000001,0600
000001,000001,000001,000000,INSTTRT     ,N,N,N,000001,0600
000001,000001,000001,000000,UNIONPAYTRT ,N,N,N,000001,0600
000001,000001,000001,000000,FISCTRT     ,N,N,N,000001,0600
000001,000001,000001,000000,MOTRT       ,N,N,N,000001,0600
